,CustomerID,StockCode,Quantity
0,17850.0,85123A,6
1,17850.0,71053,6
2,17850.0,84406B,8
3,17850.0,84029G,6
4,17850.0,84029E,6
5,17850.0,22752,2
6,17850.0,21730,6
7,17850.0,22633,6
8,17850.0,22632,6
9,13047.0,84879,32
10,13047.0,22745,6
11,13047.0,22748,6
12,13047.0,22749,8
13,13047.0,22310,6
14,13047.0,84969,6
15,13047.0,22623,3
16,13047.0,22622,2
17,13047.0,21754,3
18,13047.0,21755,3
19,13047.0,21777,4
20,13047.0,48187,4
21,13047.0,22960,6
22,13047.0,22913,3
23,13047.0,22912,3
24,13047.0,22914,3
25,13047.0,21756,3
26,12583.0,22728,24
27,12583.0,22727,24
28,12583.0,22726,12
29,12583.0,21724,12
30,12583.0,21883,24
31,12583.0,10002,48
32,12583.0,21791,24
33,12583.0,21035,18
34,12583.0,22326,24
35,12583.0,22629,24
36,12583.0,22659,24
37,12583.0,22631,24
38,12583.0,22661,20
39,12583.0,21731,24
40,12583.0,22900,24
41,12583.0,21913,12
42,12583.0,22540,24
43,12583.0,22544,24
44,12583.0,22492,36
45,12583.0,POST,3
46,13748.0,22086,80
47,17850.0,22632,6
48,17850.0,22633,6
49,17850.0,85123A,6
50,17850.0,71053,6
51,17850.0,84406B,8
52,17850.0,20679,6
53,17850.0,37370,6
54,17850.0,21871,6
55,17850.0,21071,6
56,17850.0,21068,6
57,17850.0,82483,2
58,17850.0,82486,4
59,17850.0,82482,6
60,17850.0,82494L,6
61,17850.0,84029G,6
62,17850.0,84029E,6
63,17850.0,22752,2
64,17850.0,21730,6
65,15100.0,21258,32
66,17850.0,85123A,6
67,17850.0,71053,6
68,17850.0,84406B,8
69,17850.0,20679,6
70,17850.0,37370,6
71,17850.0,21871,6
72,17850.0,21071,6
73,17850.0,21068,6
74,17850.0,82483,2
75,17850.0,82486,4
76,17850.0,82482,6
77,17850.0,82494L,6
78,17850.0,84029G,6
79,17850.0,84029E,6
80,17850.0,22752,2
81,17850.0,21730,6
82,15291.0,22114,48
83,15291.0,21733,64
84,17850.0,22632,6
85,17850.0,22633,6
86,14688.0,22386,10
87,14688.0,85099C,10
88,14688.0,21033,10
89,14688.0,20723,10
90,14688.0,84997B,12
91,14688.0,84997C,6
92,14688.0,21094,12
93,14688.0,20725,10
94,14688.0,21559,6
95,14688.0,22352,6
96,14688.0,21212,120
97,14688.0,21975,24
98,14688.0,21977,24
99,14688.0,84991,24
100,14688.0,84519A,6
101,14688.0,85183B,48
102,14688.0,85071B,96
103,14688.0,21931,10
104,14688.0,21929,10
105,17809.0,22961,24
106,15311.0,22139,23
107,15311.0,84854,5
108,15311.0,22411,10
109,15311.0,82567,2
110,15311.0,21672,6
111,15311.0,22774,24
112,15311.0,22771,24
113,15311.0,71270,1
114,15311.0,22262,1
115,15311.0,22637,1
116,15311.0,21934,10
117,15311.0,21169,3
118,15311.0,21166,1
119,15311.0,21175,2
120,15311.0,37444A,1
121,15311.0,37444C,1
122,15311.0,22086,4
123,15311.0,22083,1
124,15311.0,84971S,6
125,15311.0,71270,3
126,15311.0,47580,2
127,15311.0,22261,1
128,15311.0,84832,1
129,15311.0,22644,1
130,15311.0,21533,1
131,15311.0,21557,2
132,15311.0,15056BL,2
133,15311.0,15056N,2
134,15311.0,22646,4
135,15311.0,22176,1
136,15311.0,22438,1
137,15311.0,21731,2
138,15311.0,22778,3
139,15311.0,22719,36
140,15311.0,21523,10
142,16098.0,10002,12
143,16098.0,21912,8
144,16098.0,21832,12
145,16098.0,22411,10
146,16098.0,22379,10
147,16098.0,22381,50
148,16098.0,22798,8
149,16098.0,22726,4
150,16098.0,22926,12
151,16098.0,22839,2
152,16098.0,22838,2
153,16098.0,22783,4
155,18074.0,82484,3
156,18074.0,84755,48
157,18074.0,22464,12
158,18074.0,21324,6
159,18074.0,22457,12
160,18074.0,22469,40
161,18074.0,22470,40
162,18074.0,22224,6
163,18074.0,21340,2
164,18074.0,22189,4
165,18074.0,22427,3
166,18074.0,22428,6
167,18074.0,22424,8
168,17420.0,22783,1
169,17420.0,22961,12
170,17420.0,22960,6
171,17420.0,22663,10
172,17420.0,85049A,12
173,17420.0,22168,2
174,17420.0,22662,10
175,16029.0,84880,36
176,16029.0,85099C,100
177,16029.0,85099B,100
178,16029.0,79321,192
179,16029.0,22780,192
180,16029.0,22779,192
181,16029.0,22466,432
182,16029.0,21731,432
183,16250.0,21754,3
184,16250.0,21755,3
185,16250.0,21523,2
186,16250.0,21363,3
187,16250.0,21411,3
188,16250.0,22318,6
189,16250.0,22464,12
190,16250.0,22915,12
191,16250.0,22922,12
192,16250.0,22969,12
193,16250.0,22923,12
194,16250.0,21115,4
195,16250.0,22469,12
196,16250.0,22242,12
197,12431.0,22941,6
198,12431.0,21622,8
199,12431.0,21791,12
200,12431.0,35004C,6
201,12431.0,35004G,4
202,12431.0,85014B,6
203,12431.0,85014A,3
204,12431.0,22193,2
205,12431.0,22726,4
206,12431.0,22727,4
207,12431.0,22192,2
208,12431.0,22191,2
209,12431.0,22195,24
210,12431.0,22196,24
211,17511.0,22941,2
212,17511.0,22960,12
213,17511.0,22961,12
214,17511.0,22962,48
215,17511.0,22963,48
216,17511.0,22968,8
217,17511.0,84970S,144
218,17511.0,22910,40
219,17511.0,20668,288
220,17511.0,85123A,64
221,17511.0,22197,100
222,17511.0,22198,50
223,17511.0,21533,12
224,17511.0,21080,96
225,17511.0,21094,96
226,17511.0,21086,48
227,17511.0,21786,144
228,17511.0,22654,40
229,17511.0,21485,24
230,17511.0,84029G,24
231,17511.0,84030E,24
232,17511.0,22174,48
233,17511.0,22969,96
234,17511.0,85099B,100
242,13705.0,22150,6
243,13705.0,22619,4
244,13705.0,21891,12
245,13705.0,21889,12
246,13705.0,22827,1
247,13705.0,22127,12
248,13705.0,22128,12
249,13705.0,22502,4
250,13705.0,84879,16
251,13705.0,22338,24
252,13747.0,22180,8
253,13408.0,21506,24
254,13408.0,22633,96
255,13408.0,22866,96
256,13408.0,22865,96
257,13408.0,22632,96
258,13408.0,21485,12
259,13408.0,22349,12
260,13408.0,22558,48
261,13408.0,85152,12
262,13408.0,85123A,32
263,13408.0,22652,20
264,13767.0,22188,8
265,13767.0,84879,32
266,13767.0,21977,24
267,13767.0,84991,24
268,13767.0,21212,24
269,13767.0,21484,8
270,13767.0,21314,8
271,13767.0,22730,4
272,13767.0,22727,8
273,13767.0,22729,8
274,13767.0,22726,8
275,13767.0,22114,8
276,13767.0,22867,48
277,13767.0,22866,48
278,17850.0,85123A,6
279,17850.0,71053,6
280,17850.0,84406B,8
281,17850.0,15056BL,6
282,17850.0,20679,6
283,17850.0,37370,6
